date,time,tour_level,gender,surface,match,selection,settlement_status,settlement_odds,profit,tle_probability,book_probability_devig,tle_edge,tle_ev,event_key,winner_side,api_event_winner,api_final_score,api_event_status,settlement_reason,first_seen_at,last_seen_at,ledger_status
2026-06-11,11:30,itf,men,clay,M. Ponce de Leon Gomila - K. Kivattsev,K. Kivattsev,PENDING,1.541667,0.0,0.664083,0.602492,0.06159,0.023794,12135607,,,-,,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,13:30,itf,women,unknown,E. Lene - V. Meliss,V. Meliss,LOSS,2.35,-1.0,0.517819,0.394018,0.123801,0.216874,12135625,player_1,First Player,2 - 1,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,13:30,itf,women,unknown,L. Solar Donoso - M. Colmegna,L. Solar Donoso,LOSS,3.27,-1.0,0.362728,0.278146,0.084583,0.186122,12135709,player_2,Second Player,0 - 2,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,13:30,itf,women,unknown,E. Nepliy - C. Martinez Cirez,E. Nepliy,LOSS,3.25,-1.0,0.576988,0.285714,0.291273,0.87521,12135710,player_2,Second Player,0 - 2,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,14:00,itf,women,unknown,M. Tona - D. Maric,M. Tona,LOSS,2.575556,-1.0,0.415923,0.358783,0.057141,0.071234,12135361,player_2,Second Player,0 - 2,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,14:00,itf,women,unknown,N. Podoroska - T. Kokkinis,T. Kokkinis,LOSS,4.0,-1.0,0.360812,0.232982,0.127831,0.443249,12135741,player_1,First Player,2 - 1,Finished,settled,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,14:30,itf,women,unknown,C. Burel - D. Chiesa,D. Chiesa,PENDING,2.396667,0.0,0.603874,0.387042,0.216832,0.447284,12135626,,,0 - 0,Set 1,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,14:30,itf,women,unknown,M. Lazarenko - A. Granwehr,M. Lazarenko,PENDING,3.215,0.0,0.391421,0.28714,0.104281,0.258418,12135628,,,0 - 0,Set 1,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
2026-06-11,17:00,itf,men,hard,C. Hernandez - J. Domingues,J. Domingues,PENDING,1.3675,0.0,0.74666,0.674308,0.072352,0.021058,12135512,,,-,,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T14:13:14+00:00,active_in_latest_snapshot
2026-06-11,17:00,itf,men,hard,P. Marinkov - D. Chan,P. Marinkov,PENDING,3.15,0.0,0.676303,0.290909,0.385394,1.110065,12135763,,,0 - 0,Set 1,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T14:13:14+00:00,active_in_latest_snapshot
2026-06-11,17:00,itf,men,hard,K. Poling - D. Popko,D. Popko,PENDING,1.66,0.0,0.862758,0.558511,0.304248,0.432179,12135764,,,0 - 0,Set 1,not_finished,2026-06-11T14:13:14+00:00,2026-06-11T14:13:14+00:00,active_in_latest_snapshot
2026-06-11,19:00,itf,men,hard,O. Baris - Z. Velcz,Z. Velcz,PENDING,2.81,0.0,0.386877,0.329356,0.057522,0.087125,12135697,,,-,,not_finished,2026-06-11T14:13:14+00:00,2026-06-11T14:13:14+00:00,active_in_latest_snapshot
2026-06-11,19:00,itf,men,hard,M. Farzam - K. Miyoshi,M. Farzam,PENDING,3.15,0.0,0.396579,0.281046,0.115534,0.308712,12135792,,,-,,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T14:13:14+00:00,active_in_latest_snapshot
2026-06-11,21:00,itf,men,hard,B. Ellis - S. Gorzny,B. Ellis,PENDING,2.17,0.0,0.784243,0.448925,0.335318,0.607698,12135804,,,-,,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T14:13:14+00:00,active_in_latest_snapshot
2026-06-11,21:30,itf,women,hard,S. Yamalapalli - D. Plekhanova,D. Plekhanova,PENDING,1.91,0.0,0.57537,0.480978,0.094392,0.098957,12135729,,,-,,not_finished,2026-06-11T14:13:14+00:00,2026-06-11T14:13:14+00:00,active_in_latest_snapshot
2026-06-11,22:30,itf,women,clay,L. Fullana - M. Souza,M. Souza,PENDING,4.0,0.0,0.3218,0.232246,0.089554,0.2872,12135801,,,-,,not_finished,2026-06-11T08:24:31+00:00,2026-06-11T08:24:31+00:00,not_in_latest_snapshot
